facility,week,value
SYNTH-A,11/30,88.2
SYNTH-A,12/07,90.1
SYNTH-A,12/14,87.6
SYNTH-A,12/21,89.4
SYNTH-A,12/28,91.0
SYNTH-A,01/04,90.3
SYNTH-A,01/11,92.1
SYNTH-A,01/18,91.5
SYNTH-A,01/25,93.0
SYNTH-A,02/01,92.4
SYNTH-A,02/08,94.1
SYNTH-A,02/15,93.6
SYNTH-A,02/22,95.0
SYNTH-A,03/01,94.2
SYNTH-A,03/08,96.1
SYNTH-A,03/15,95.4
SYNTH-A,03/22,97.0
SYNTH-A,03/29,96.3
SYNTH-A,04/05,98.0
SYNTH-A,04/12,97.2
SYNTH-A,04/19,99.1
SYNTH-A,04/26,98.4
SYNTH-A,05/03,100.2
SYNTH-A,05/10,99.5
SYNTH-A,05/17,101.0
SYNTH-A,05/23,100.3
SYNTH-B,11/30,96.5
SYNTH-B,12/07,95.1
SYNTH-B,12/14,96.0
SYNTH-B,12/21,94.2
SYNTH-B,12/28,95.3
SYNTH-B,01/04,93.1
SYNTH-B,01/11,94.0
SYNTH-B,01/18,92.2
SYNTH-B,01/25,93.1
SYNTH-B,02/01,91.0
SYNTH-B,02/08,92.3
SYNTH-B,02/15,90.1
SYNTH-B,02/22,79.5
SYNTH-B,03/01,90.2
SYNTH-B,03/08,89.1
SYNTH-B,03/15,90.0
SYNTH-B,03/22,88.2
SYNTH-B,03/29,89.1
SYNTH-B,04/05,87.0
SYNTH-B,04/12,88.3
SYNTH-B,04/19,86.1
SYNTH-B,04/26,87.2
SYNTH-B,05/03,85.0
SYNTH-B,05/10,86.3
SYNTH-B,05/17,84.1
SYNTH-B,05/23,85.2
