facility,region,district,week,tlh,sph
SYNTH-01,NORTHWEST,Pacific Northwest,05/23/26,3470,12.05
SYNTH-01,NORTHWEST,Pacific Northwest,05/30/26,3492,12.11
SYNTH-01,NORTHWEST,Pacific Northwest,06/06/26,3492,13.32
SYNTH-02,NORTHWEST,Mountain,05/23/26,2901,10.36
SYNTH-02,NORTHWEST,Mountain,05/30/26,2874,10.45
SYNTH-02,NORTHWEST,Mountain,06/06/26,2587,11.61
SYNTH-03,NORTHWEST,Columbia River,05/23/26,3208,11.27
SYNTH-03,NORTHWEST,Columbia River,05/30/26,3231,11.15
SYNTH-03,NORTHWEST,Columbia River,06/06/26,3231,9.14
SYNTH-04,MID-AMERICA,Red River,05/23/26,2842,9.85
SYNTH-04,MID-AMERICA,Red River,05/30/26,2867,9.77
SYNTH-04,MID-AMERICA,Red River,06/06/26,3096,9.05
SYNTH-05,NORTHWEST,Western Rockies,05/23/26,2188,10.94
SYNTH-05,NORTHWEST,Western Rockies,05/30/26,2210,10.86
SYNTH-05,NORTHWEST,Western Rockies,06/06/26,2195,10.99
SYNTH-06,NORTHWEST,Northern California,05/23/26,3987,13.04
SYNTH-06,NORTHWEST,Northern California,05/30/26,4012,12.96
SYNTH-06,NORTHWEST,Northern California,06/06/26,3970,13.18
